animal_id,name,breed,raw_breed,color,secondary_color,sex,is_puppy,intake_date,days_waiting,intake_reason,health,date_of_birth
31368,,Dachshund,Dachshund,White,Brown,Unknown,1,2026-08-10,5,Stray,,
31369,,Dachshund,Dachshund,White,Brown,Unknown,1,2026-08-10,5,Stray,,
31370,,Dachshund,Dachshund,White,Brown,Unknown,1,2026-08-10,5,Stray,,
31371,,Dachshund,Dachshund,White,Brown,Unknown,1,2026-08-10,5,Stray,,
31387,Anderson,Australian Cattle Dog,Australian Cattle Dog,Black,White,Unknown,0,2026-08-10,5,Stray,,2024-08-10
31397,Widow,Siberian Husky,Siberian Husky,White,Tan,Female,0,2026-08-11,4,ACO - Impound,Normal,
31400,,Chihuahua,Chihuahua - Smooth,Blonde,White,Unknown,0,2026-08-11,4,Stray,,2025-08-11
31207,,American Pit Bull Terrier,American Pit Bull Terrier,Black Brindle,Black Brindle,Male,1,2026-08-11,4,Stray,,
31422,Hugs,Dachshund,Dachshund,Black,White,Unknown,0,2026-08-11,4,Owner Surrender,,2015-08-11
31436,,Chihuahua,Chihuahua - Smooth,Tan,Black,Male,0,2026-08-11,4,Stray,,
31438,Mona,Labrador Retriever,Labrador Retriever,Black,White,Unknown,0,2026-08-11,4,Owner Surrender,,2018-08-11
31440,,American Pit Bull Terrier,American Pit Bull Terrier,Black,,Unknown,0,2026-08-11,4,Stray,,
31452,,Labrador Retriever,Labrador Retriever,Red Merle,White,Female,0,2026-08-11,4,ACO - Impound,,2024-02-11
31453,,Belgian Shepherd Dog,Belgian Shepherd Dog - Malinois,Black,Tan,Female,0,2026-08-11,4,ACO - Impound,,2026-03-11
31454,,Labrador Retriever,Labrador Retriever,Red,Black,Female,0,2026-08-11,4,ACO - Impound,,2026-03-11
31458,,American Pit Bull Terrier,American Pit Bull Terrier,Brown,,Unknown,0,2026-08-12,3,Agency,,
31461,,American Pit Bull Terrier,American Pit Bull Terrier,Black,White,Unknown,0,2026-08-12,3,Stray,,
31482,,Chihuahua,Chihuahua - Smooth,Tan,White,Male,0,2026-08-12,3,Stray,,
31496,,American Pit Bull Terrier,American Pit Bull Terrier,Grey,White,Female,0,2026-08-12,3,ACO - Impound,,
31498,,Border Collie,Border Collie,Black,White,Male,0,2026-08-12,3,ACO - Impound,,
31502,,Chihuahua,Chihuahua - Smooth,Yellow,,Unknown,0,2026-08-13,2,ACO - Impound,,2024-08-13
31505,Ishtar,American Pit Bull Terrier,American Pit Bull Terrier,Red Brown,Brown,Male,0,2026-08-13,2,ACO - Impound,,
31506,Ivan,American Pit Bull Terrier,American Pit Bull Terrier,Red,Black,Male,0,2026-08-13,2,ACO - Impound,,
31504,Sassy,American Pit Bull Terrier,American Pit Bull Terrier,Brown Brindle,,Female,0,2026-08-13,2,ACO - Impound,,
31508,Hurteye,Hound,Hound,Tan,White,Male,0,2026-08-13,2,ACO - Impound,,
31507,Nips,Hound,Hound,Red,White,Male,0,2026-08-13,2,ACO - Impound,,
31516,Rhea,American Pit Bull Terrier,American Pit Bull Terrier,Red,White,Female,0,2026-08-13,2,ACO - Impound,,
31523,,Chihuahua,Chihuahua - Smooth,Tan,,Male,1,2026-08-13,2,Stray,,2026-04-13
31534,,Mastiff,Mastiff,Brown,,Unknown,1,2026-08-13,2,ACO - Owner Surrender,,2026-06-18
31535,,Mastiff,Mastiff,Brown,,Unknown,1,2026-08-13,2,ACO - Owner Surrender,,2026-06-18
31536,,Mastiff,Mastiff,Brown,,Unknown,1,2026-08-13,2,ACO - Owner Surrender,,2026-06-18
31537,,Mastiff,Mastiff,Brown,,Unknown,1,2026-08-13,2,ACO - Owner Surrender,,2026-06-18
31538,,Mastiff,Mastiff,Brown,,Unknown,1,2026-08-13,2,ACO - Owner Surrender,,2026-06-18
31539,,Mastiff,Mastiff,Brown,,Unknown,1,2026-08-13,2,ACO - Owner Surrender,,2026-06-18
31540,,Mastiff,Mastiff,Brown,,Unknown,1,2026-08-13,2,ACO - Owner Surrender,,2026-06-18
31541,,Mastiff,Mastiff,Brown,,Unknown,1,2026-08-13,2,ACO - Owner Surrender,,2026-06-18
31542,,Mastiff,Mastiff,Brown,,Unknown,1,2026-08-13,2,ACO - Owner Surrender,,2026-06-18
31543,,Mastiff,Mastiff,Brown,,Unknown,1,2026-08-13,2,ACO - Owner Surrender,,2026-06-18
31544,,Mastiff,Mastiff,Brown,,Unknown,1,2026-08-13,2,ACO - Owner Surrender,,2026-06-18
31545,Trey,Mastiff,Mastiff,Brown,,Male,0,2026-08-13,2,ACO - Owner Surrender,,2025-08-13
31546,,English Bulldog,English Bulldog,Brown,White,Unknown,0,2026-08-13,2,Stray,,2024-08-13
31548,Cleo,Mastiff,Mastiff,Fawn,Black,Female,0,2026-08-13,2,Owner Surrender,,2025-11-15
31554,,German Shepherd,German Shepherd,Black,Brown,Unknown,0,2026-08-13,2,Stray,,
31557,,Jack Russell Terrier,Jack Russell Terrier,Black,Tri Color,Female,0,2026-08-13,2,Stray,,2026-01-13
31560,,Boxer,Boxer,Red,Black,Unknown,0,2026-08-13,2,Agency,,
31475,Zeus,Great Pyrenees,Great Pyrenees,White,White,Male,0,2026-08-13,2,ACO - Impound,,
31567,,Siberian Husky,Siberian Husky,Red,White,Unknown,0,2026-08-13,2,Stray,,
31614,Charlie,American Pit Bull Terrier,American Pit Bull Terrier,Charcoal,White,Male,0,2026-08-15,1,ACO - Impound,,
31579,,American Pit Bull Terrier,American Pit Bull Terrier,Tan,White,Female,1,2026-08-14,1,Stray,,2026-08-13
31580,,American Pit Bull Terrier,American Pit Bull Terrier,Brown,White,Male,1,2026-08-14,1,Stray,,2026-08-13
31591,Little Bit,Chihuahua,Chihuahua - Smooth,White,,Female,0,2026-08-14,1,Agency,,
31592,Peanut,Chihuahua,Chihuahua - Smooth,Tan,White,Male,0,2026-08-14,1,Agency,,
31594,,Anatolian Shepherd,Anatolian Shepherd,Tan,Black,Unknown,0,2026-08-14,1,ACO - Impound,Normal,2024-08-14
31595,,Border Collie,Border Collie,Black,White,Unknown,1,2026-08-14,1,Stray,,2026-05-22
31612,,Chihuahua,Chihuahua - Smooth,Black,Tri Color,Unknown,1,2026-08-14,1,ACO - Impound,,
31615,Thrud,Shar Pei,Shar Pei,Tan,,Female,0,2026-08-15,0,ACO - Impound,Normal,2021-08-15
31625,,Chihuahua,Chihuahua - Smooth,Tan,White,Female,0,2026-08-15,0,ACO - Impound,Injured,2018-08-15
31631,,Chihuahua,Chihuahua - Smooth,Tan,White,Female,0,2026-08-15,0,Stray,,2017-08-15
31634,,Labrador Retriever,Labrador Retriever,Black,White,Male,0,2026-08-15,0,ACO - Impound,,
